Query,RetrievedDocuments
40001.query, VOM19980604.0700.0157 VOM19980302.0700.1233 VOM19980319.0900.2928 VOM19980325.0900.0356 VOM19980604.0730.0077 VOM19980404.0700.0406 VOM19980626.0700.0131 VOM19980226.0900.2027 VOM19980325.0900.2134 VOM19980303.0700.0696 VOM19980403.0900.0173 VOM19980531.0700.0235 VOM19980630.0700.0457 VOM19980222.0700.0448 VOM19980520.0700.0476 VOM19980604.0700.0126 VOM19980223.0700.0664 VOM19980224.0900.2212 VOM19980316.0700.0649 VOM19980326.0700.0657 VOM19980618.0700.0187 VOM19980521.0900.0177 VOM19980506.0700.0472 VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980306.0700.0593 VOM19980303.0900.2177 VOM19980223.0900.2973 VOM19980302.0900.0368 VOM19980315.0700.1383 VOM19980304.0900.0509 VOM19980305.0900.0492 VOM19980603.0900.0243 VOM19980604.0700.0534 VOM19980531.0730.0076 VOM19980617.0900.0206 VOM19980403.0900.2349 VOM19980220.0700.0620 VOM19980403.0700.0727 VOM19980228.0700.2757 VOM19980317.0700.0156 VOM19980223.0900.2779 VOM19980305.0700.0763 VOM19980220.0900.2583 VOM19980403.0900.2970 VOM19980316.0900.1194 VOM19980325.0900.0905 VOM19980224.0900.3022 VOM19980225.0900.0714 VOM19980403.0900.0619
40002.query, VOM19980327.0900.0327 VOM19980327.0900.1984 VOM19980326.0900.2164 VOM19980326.0700.2359 VOM19980403.0900.3074 VOM19980303.0700.0696 VOM19980312.0900.2408 VOM19980325.0900.0356 VOM19980602.0730.0163 VOM19980302.0900.0368 VOM19980505.0700.0384 VOM19980226.0900.2027 VOM19980602.0900.0084 VOM19980526.0730.0266 VOM19980222.0700.2148 VOM19980316.0700.0649 VOM19980223.0700.0664 VOM19980404.0700.0406 VOM19980527.0730.0233 VOM19980225.0900.2154 VOM19980403.0900.0173 VOM19980603.0900.0243 VOM19980303.0900.2177 VOM19980306.0700.0593 VOM19980510.0700.0480 VOM19980625.0730.0124 VOM19980222.0700.0448 VOM19980625.0700.0205 VOM19980220.0900.0330 VOM19980325.0900.3063 VOM19980430.0900.0231 VOM19980618.0700.0114 VOM19980302.0900.2091 VOM19980627.0700.0466 VOM19980316.0700.1957 VOM19980618.0700.0144 VOM19980317.0900.2819 VOM19980604.0900.0246 VOM19980315.0700.0716 VOM19980630.0700.0457 VOM19980319.0700.0722 VOM19980521.0900.0177 VOM19980325.0900.0905 VOM19980312.0900.1243 VOM19980306.0700.3229 VOM19980602.0700.0036 VOM19980225.0900.0458 VOM19980317.0700.0510 VOM19980625.0700.0480 VOM19980225.0900.0332
40003.query, VOM19980222.0700.0448 VOM19980618.0700.0187 VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980316.0900.2774 VOM19980404.0700.0406 VOM19980626.0700.0131 VOM19980317.0700.0156 VOM19980226.0900.2027 VOM19980404.0700.0676 VOM19980226.0900.3196 VOM19980620.0700.0040 VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980403.0900.0619 VOM19980619.0900.0076 VOM19980619.0700.0040 VOM19980511.0730.0066 VOM19980312.0900.1827 VOM19980312.0900.3403 VOM19980619.0730.0076 VOM19980403.0700.0185 VOM19980317.0900.2819 VOM19980505.0700.0438 VOM19980220.0700.1159 VOM19980403.0900.2079 VOM19980303.0700.0590 VOM19980616.0700.0538 VOM19980515.0700.0434 VOM19980317.0900.0152 VOM19980220.0900.2583 VOM19980317.0900.1955 VOM19980614.0700.0302 VOM19980403.0700.0129 VOM19980614.0730.0231 VOM19980515.0900.0164 VOM19980403.0900.3074 VOM19980223.0900.2779 VOM19980506.0700.0472 VOM19980319.0700.0452 VOM19980526.0730.0266 VOM19980326.0700.0657 VOM19980225.0900.0714 VOM19980223.0700.0562 VOM19980403.0900.0173 VOM19980511.0700.0105 VOM19980325.0900.3063 VOM19980222.0700.1986 VOM19980404.0700.1061 VOM19980403.0900.2970
40004.query, VOM19980317.0700.0156 VOM19980623.0900.0051 VOM19980630.0700.0032 VOM19980314.0700.0818 VOM19980630.0730.0002 VOM19980630.0900.0005 VOM19980626.0700.0131 VOM19980404.0700.1295 VOM19980403.0700.0727 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980226.0900.2027 VOM19980403.0900.2349 VOM19980224.0900.3022 VOM19980314.0700.1261 VOM19980627.0700.0022 VOM19980317.0700.0924 VOM19980327.0900.0757 VOM19980317.0700.0723 VOM19980317.0900.2229 VOM19980222.0700.1274 VOM19980223.0900.2779 VOM19980305.0700.0763 VOM19980625.0730.0002 VOM19980326.0900.0433 VOM19980312.0900.0497 VOM19980325.0900.0905 VOM19980404.0700.0676 VOM19980319.0700.1102 VOM19980403.0900.0619 VOM19980625.0700.0037 VOM19980220.0900.2583 VOM19980317.0900.2819 VOM19980403.0900.1341 VOM19980626.0700.0029 VOM19980222.0700.1016 VOM19980305.0900.0492 VOM19980225.0900.1275 VOM19980224.0700.1212 VOM19980319.0900.0451 VOM19980312.0900.1827 VOM19980220.0700.1448 VOM19980628.0700.0025 VOM19980618.0700.0187 VOM19980630.0730.0043 VOM19980314.0700.0478 VOM19980312.0900.3403 VOM19980227.0900.1346 VOM19980220.0900.2343 VOM19980327.0900.2955
40005.query, VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980526.0730.0266 VOM19980616.0700.0538 VOM19980506.0700.0472 VOM19980403.0900.2079 VOM19980326.0700.0657 VOM19980618.0700.0187 VOM19980603.0900.0243 VOM19980325.0900.2134 VOM19980613.0700.0112 VOM19980610.0700.0551 VOM19980630.0700.0457 VOM19980610.0730.0140 VOM19980505.0700.0438 VOM19980616.0730.0180 VOM19980609.0700.0520 VOM19980616.0900.0100 VOM19980404.0700.0406 VOM19980222.0700.0448 VOM19980424.0900.0246 VOM19980312.0900.1827 VOM19980312.0900.3403 VOM19980403.0900.3340 VOM19980317.0700.0156 VOM19980403.0700.0185 VOM19980618.0700.0542 VOM19980624.0700.0546 VOM19980306.0700.0593 VOM19980403.0900.0173 VOM19980626.0700.0131 VOM19980520.0700.0476 VOM19980403.0900.2970 VOM19980604.0700.0534 VOM19980317.0900.2819 VOM19980403.0700.0323 VOM19980507.0700.0546 VOM19980617.0900.0206 VOM19980603.0700.0545 VOM19980617.0700.0554 VOM19980305.0700.1106 VOM19980604.0700.0157 VOM19980326.0900.2164 VOM19980226.0900.1857 VOM19980326.0700.3398 VOM19980427.0900.0190 VOM19980414.0900.0040 VOM19980619.0700.0553 VOM19980614.0700.0302 VOM19980326.0700.2359
40006.query, VOM19980319.0900.2782 VOM19980302.0700.1233 VOM19980319.0900.2928 VOM19980531.0730.0076 VOM19980508.0700.0318 VOM19980604.0700.0157 VOM19980531.0700.0235 VOM19980223.0900.2973 VOM19980319.0900.0451 VOM19980630.0700.0187 VOM19980604.0700.0126 VOM19980226.0900.2027 VOM19980315.0700.1383 VOM19980325.0900.0676 VOM19980305.0700.0763 VOM19980220.0900.2583 VOM19980521.0700.0319 VOM19980626.0700.0131 VOM19980304.0900.0509 VOM19980224.0900.2345 VOM19980527.0700.0283 VOM19980428.0900.0031 VOM19980403.0900.2349 VOM19980305.0900.0492 VOM19980303.0900.2177 VOM19980326.0900.0576 VOM19980224.0900.3453 VOM19980527.0730.0189 VOM19980527.0900.0116 VOM19980316.0900.1194 VOM19980316.0900.0475 VOM19980403.0900.0619 VOM19980319.0900.0647 VOM19980305.0900.1736 VOM19980314.0700.0478 VOM19980628.0700.0025 VOM19980403.0700.0727 VOM19980312.0900.1243 VOM19980317.0700.0924 VOM19980628.0730.0026 VOM19980624.0700.0044 VOM19980314.0700.0818 VOM19980222.0700.2416 VOM19980224.0900.3022 VOM19980222.0700.1274 VOM19980327.0900.0757 VOM19980403.0900.1341 VOM19980317.0900.2819 VOM19980504.0700.0456 VOM19980223.0900.2779
40007.query, VOM19980302.0700.1233 VOM19980319.0900.2782 VOM19980604.0700.0126 VOM19980319.0900.2928 VOM19980626.0700.0131 VOM19980220.0900.2583 VOM19980630.0700.0187 VOM19980624.0700.0044 VOM19980403.0900.2349 VOM19980319.0900.0451 VOM19980508.0700.0318 VOM19980226.0900.2027 VOM19980317.0700.0156 VOM19980223.0900.2973 VOM19980628.0730.0026 VOM19980623.0900.0051 VOM19980314.0700.0818 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980531.0730.0076 VOM19980625.0700.0037 VOM19980315.0700.0844 VOM19980604.0700.0157 VOM19980317.0700.0723 VOM19980222.0700.1274 VOM19980305.0700.0763 VOM19980224.0900.2345 VOM19980317.0700.0924 VOM19980223.0900.2779 VOM19980224.0900.3022 VOM19980305.0900.1736 VOM19980327.0900.0757 VOM19980624.0730.0001 VOM19980627.0700.0205 VOM19980326.0900.0433 VOM19980403.0900.0619 VOM19980628.0700.0025 VOM19980531.0700.0235 VOM19980522.0700.0100 VOM19980311.0700.0471 VOM19980403.0700.0727 VOM19980626.0700.0029 VOM19980314.0700.0478 VOM19980303.0700.1822 VOM19980222.0700.2416 VOM19980627.0730.0153 VOM19980624.0900.0001 VOM19980315.0700.1383 VOM19980225.0900.1275 VOM19980403.0900.1341
40008.query, VOM19980626.0700.0131 VOM19980317.0700.0156 VOM19980618.0700.0187 VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980404.0700.0406 VOM19980222.0700.0448 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980312.0900.1827 VOM19980312.0900.3403 VOM19980628.0700.0025 VOM19980226.0900.2027 VOM19980619.0900.0076 VOM19980403.0900.0619 VOM19980619.0730.0076 VOM19980317.0900.2819 VOM19980505.0700.0438 VOM19980623.0900.0051 VOM19980223.0700.0562 VOM19980314.0700.0478 VOM19980327.0900.0757 VOM19980314.0700.0818 VOM19980403.0900.3074 VOM19980305.0900.1967 VOM19980628.0730.0026 VOM19980626.0700.0029 VOM19980404.0700.1295 VOM19980430.0900.0001 VOM19980404.0700.0676 VOM19980613.0700.0112 VOM19980627.0700.0102 VOM19980627.0730.0047 VOM19980624.0700.0044 VOM19980618.0700.0076 VOM19980618.0730.0044 VOM19980225.0900.0714 VOM19980305.0900.0295 VOM19980403.0900.1341 VOM19980619.0700.0040 VOM19980317.0700.0723 VOM19980316.0900.1523 VOM19980602.0700.0245 VOM19980220.0900.2583 VOM19980627.0700.0022 VOM19980225.0900.1275 VOM19980316.0900.2774 VOM19980305.0700.0763 VOM19980614.0700.0302 VOM19980604.0700.0157
40009.query, VOM19980317.0700.0156 VOM19980623.0900.0051 VOM19980430.0900.0001 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980630.0700.0032 VOM19980618.0700.0187 VOM19980319.0700.0452 VOM19980626.0700.0131 VOM19980225.0900.1275 VOM19980630.0730.0002 VOM19980220.0900.2583 VOM19980627.0700.0022 VOM19980630.0900.0005 VOM19980311.0700.0471 VOM19980317.0700.0723 VOM19980312.0900.1827 VOM19980511.0900.0039 VOM19980511.0730.0066 VOM19980616.0730.0180 VOM19980312.0900.3403 VOM19980616.0900.0100 VOM19980403.0700.0727 VOM19980226.0900.2027 VOM19980628.0700.0025 VOM19980314.0700.0818 VOM19980604.0700.0039 VOM19980326.0900.0433 VOM19980317.0900.2819 VOM19980316.0900.1523 VOM19980224.0900.3453 VOM19980626.0700.0029 VOM19980312.0900.0825 VOM19980625.0730.0002 VOM19980528.0900.0135 VOM19980504.0900.0230 VOM19980404.0700.1295 VOM19980224.0900.3022 VOM19980314.0700.1261 VOM19980317.0900.2229 VOM19980625.0700.0037 VOM19980319.0900.0451 VOM19980303.0700.1822 VOM19980627.0730.0001 VOM19980504.0700.0456 VOM19980526.0730.0131 VOM19980317.0700.0924 VOM19980526.0700.0342 VOM19980222.0700.1274 VOM19980314.0700.0478
40010.query, VOM19980626.0700.0131 VOM19980618.0700.0187 VOM19980317.0700.0156 VOM19980505.0700.0438 VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980226.0900.2027 VOM19980317.0900.2819 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980312.0900.1827 VOM19980312.0900.3403 VOM19980404.0700.0406 VOM19980404.0700.0676 VOM19980403.0900.2079 VOM19980222.0700.2148 VOM19980403.0900.0619 VOM19980522.0700.0215 VOM19980604.0700.0157 VOM19980224.0900.3022 VOM19980319.0700.0452 VOM19980623.0900.0051 VOM19980317.0700.0924 VOM19980220.0900.2583 VOM19980222.0700.0448 VOM19980223.0700.0664 VOM19980305.0700.0436 VOM19980319.0900.0364 VOM19980226.0900.1857 VOM19980325.0900.0905 VOM19980404.0700.1295 VOM19980604.0730.0077 VOM19980314.0700.0818 VOM19980527.0730.0189 VOM19980527.0900.0116 VOM19980511.0730.0066 VOM19980511.0900.0039 VOM19980403.0700.0185 VOM19980531.0730.0076 VOM19980628.0700.0025 VOM19980305.0700.0763 VOM19980403.0700.0727 VOM19980327.0900.0757 VOM19980316.0900.1523 VOM19980626.0700.0029 VOM19980222.0700.1016 VOM19980430.0900.0001 VOM19980528.0900.0135 VOM19980225.0900.1275 VOM19980326.0900.0433
